epoch, 0, time used, 44, seconds, train loss, 0.2454255118, validation loss:, 0.2508900383
epoch, 1, time used, 43, seconds, train loss, 0.2223739226, validation loss:, 0.2339745225
epoch, 2, time used, 43, seconds, train loss, 0.2146780712, validation loss:, 0.2289830701
epoch, 3, time used, 43, seconds, train loss, 0.2095801680, validation loss:, 0.2370803421
epoch, 4, time used, 43, seconds, train loss, 0.2056235026, validation loss:, 0.2227982771
epoch, 5, time used, 43, seconds, train loss, 0.2027936736, validation loss:, 0.2175736282
epoch, 6, time used, 43, seconds, train loss, 0.2000424077, validation loss:, 0.2189415045
epoch, 7, time used, 43, seconds, train loss, 0.1974002707, validation loss:, 0.2156195415
epoch, 8, time used, 43, seconds, train loss, 0.1958086289, validation loss:, 0.2133914684
epoch, 9, time used, 43, seconds, train loss, 0.1937521136, validation loss:, 0.2114088363
epoch, 10, time used, 43, seconds, train loss, 0.1917416829, validation loss:, 0.2120619483
epoch, 11, time used, 43, seconds, train loss, 0.1909067827, validation loss:, 0.2093868936
epoch, 12, time used, 43, seconds, train loss, 0.1892961604, validation loss:, 0.2098483084
epoch, 13, time used, 43, seconds, train loss, 0.1879449696, validation loss:, 0.2086309676
epoch, 14, time used, 43, seconds, train loss, 0.1870015577, validation loss:, 0.2081444123
epoch, 15, time used, 43, seconds, train loss, 0.1860063942, validation loss:, 0.2075429059
epoch, 16, time used, 43, seconds, train loss, 0.1851143160, validation loss:, 0.2086500609
epoch, 17, time used, 43, seconds, train loss, 0.1842475097, validation loss:, 0.2098930729
epoch, 18, time used, 43, seconds, train loss, 0.1835997812, validation loss:, 0.2078626773
epoch, 19, time used, 43, seconds, train loss, 0.1825729521, validation loss:, 0.2071784668
epoch, 20, time used, 43, seconds, train loss, 0.1820461085, validation loss:, 0.2056739263
epoch, 21, time used, 43, seconds, train loss, 0.1809034370, validation loss:, 0.2065280192
epoch, 22, time used, 43, seconds, train loss, 0.1807583353, validation loss:, 0.2059545659
epoch, 23, time used, 43, seconds, train loss, 0.1799592100, validation loss:, 0.2075073572
epoch, 24, time used, 43, seconds, train loss, 0.1796121310, validation loss:, 0.2071177869
epoch, 25, time used, 43, seconds, train loss, 0.1789284567, validation loss:, 0.2053539276
epoch, 26, time used, 43, seconds, train loss, 0.1785183201, validation loss:, 0.2070451660
epoch, 27, time used, 43, seconds, train loss, 0.1778788084, validation loss:, 0.2053467350
epoch, 28, time used, 43, seconds, train loss, 0.1775503329, validation loss:, 0.2040814862
epoch, 29, time used, 43, seconds, train loss, 0.1769659093, validation loss:, 0.2053258501
epoch, 30, time used, 43, seconds, train loss, 0.1765509740, validation loss:, 0.2067310567
epoch, 31, time used, 43, seconds, train loss, 0.1762132727, validation loss:, 0.2044658610
epoch, 32, time used, 43, seconds, train loss, 0.1757822596, validation loss:, 0.2055357365
epoch, 33, time used, 43, seconds, train loss, 0.1752907329, validation loss:, 0.2046202745
epoch, 34, time used, 43, seconds, train loss, 0.1749821104, validation loss:, 0.2049179254
epoch, 35, time used, 43, seconds, train loss, 0.1743940786, validation loss:, 0.2059267767
epoch, 36, time used, 43, seconds, train loss, 0.1741868791, validation loss:, 0.2039710511
epoch, 37, time used, 43, seconds, train loss, 0.1738311365, validation loss:, 0.2069399446
epoch, 38, time used, 43, seconds, train loss, 0.1736229788, validation loss:, 0.2043653009
epoch, 39, time used, 43, seconds, train loss, 0.1732427708, validation loss:, 0.2062074183
epoch, 40, time used, 43, seconds, train loss, 0.1729103417, validation loss:, 0.2055691275
epoch, 41, time used, 43, seconds, train loss, 0.1724760652, validation loss:, 0.2056715987
epoch, 42, time used, 43, seconds, train loss, 0.1723512048, validation loss:, 0.2043857182
epoch, 43, time used, 43, seconds, train loss, 0.1718310783, validation loss:, 0.2053405162
epoch, 44, time used, 43, seconds, train loss, 0.1717482281, validation loss:, 0.2064905700
epoch, 45, time used, 43, seconds, train loss, 0.1713720027, validation loss:, 0.2070483605
